314159 0 0.000000 Current network file generated by angioadapt
  300.000000  300.000000  500.000000	box dimensions in microns
  15    15    25 	number of tissue points in x,y,z directions
  0.000000			outer bound distance (100. in test case)
  75.000000				max. segment length.  (5. in test case)
   40				nodsegm, max. number of segments per node
  34				total number of segments 
  name type from  to  diam       flow
	1	  4	  1	  2	  7.000000	  40.233330	  0.400000  
	2	  3	  2	  3	  7.642372	  40.233330	  0.400000  
	3	  1	  3	  4	  8.000000	  0.000000	  0.400000  
	4	  1	  4	  5	  8.000000	  0.000000	  0.400000  
	5	  1	  5	  26	  8.000000	  0.000000	  0.400000  
	6	  1	  6	  7	  8.000000	  0.000000	  0.400000  
	7	  1	  7	  8	  8.000000	  0.000000	  0.400000  
	8	  1	  8	  9	  8.000000	  0.000000	  0.400000  
	9	  1	  9	  10	  8.000000	  0.000000	  0.400000  
	10	  1	  10	  11	  8.000000	  0.000000	  0.400000  
	11	  1	  11	  12	  8.000000	  0.000000	  0.400000  
	12	  5	  3	  13	  7.653216	  40.233330	  0.400000  
	13	  5	  13	  16	  7.712744	  40.233330	  0.400000  
	14	  4	  14	  15	  16.000000	  -40.233330	  0.400000  
	15	  3	  15	  16	  7.883153	  -40.233330	  0.400000  
	16	  1	  16	  17	  8.000000	  0.000000	  0.400000  
	17	  1	  17	  18	  8.000000	  0.000000	  0.400000  
	18	  1	  18	  19	  8.000000	  0.000000	  0.400000  
	19	  1	  19	  20	  8.000000	  0.000000	  0.400000  
	20	  1	  20	  27	  8.000000	  0.000000	  0.400000  
	21	  1	  21	  22	  8.000000	  0.000000	  0.400000  
	22	  1	  22	  23	  8.000000	  0.000000	  0.400000  
	23	  1	  23	  28	  8.000000	  0.000000	  0.400000  
	24	  1	  24	  25	  8.000000	  0.000000	  0.400000  
	25	  1	  26	  6	  8.000000	  0.000000	  0.400000  
	26	  1	  27	  21	  8.000000	  0.000000	  0.400000  
	27	  1	  28	  24	  8.000000	  0.000000	  0.400000  
	28	  0	  12	  29	  8.000000	  0.000000	  0.000000  
	29	  0	  25	  30	  8.000000	  0.000000	  0.000000  
	30	  0	  26	  31	  8.000000	  0.000000	  0.000000  
	31	  0	  27	  32	  8.000000	  0.000000	  0.000000  
	32	  0	  21	  33	  8.000000	  0.000000	  0.000000  
	33	  0	  23	  34	  8.000000	  0.000000	  0.000000  
	34	  0	  28	  35	  8.000000	  0.000000	  0.000000  
 35       total number of nodes
  name    x       y       z
	1	  25.000000	  77.900002	  500.000000  
	2	  55.000000	  95.199997	  500.000000  
	3	  85.000000	  112.500000	  500.000000  
	4	  85.000000	  112.500000	  450.000000  
	5	  85.000000	  112.500000	  400.000000  
	6	  85.000000	  112.500000	  350.000000  
	7	  85.000000	  112.500000	  300.000000  
	8	  85.000000	  112.500000	  250.000000  
	9	  85.000000	  112.500000	  200.000000  
	10	  85.000000	  112.500000	  167.000000  
	11	  85.000000	  112.500000	  133.000000  
	12	  85.000000	  112.500000	  100.000000  
	13	  150.000000	  150.000000	  500.000000  
	14	  275.000000	  222.100006	  500.000000  
	15	  245.000000	  204.800003	  500.000000  
	16	  215.000000	  187.500000	  500.000000  
	17	  215.000000	  187.500000	  450.000000  
	18	  215.000000	  187.500000	  400.000000  
	19	  215.000000	  187.500000	  350.000000  
	20	  215.000000	  187.500000	  300.000000  
	21	  215.000000	  187.500000	  250.000000  
	22	  215.000000	  187.500000	  200.000000  
	23	  214.594803	  187.585434	  167.000000  
	24	  215.000000	  187.500000	  133.000000  
	25	  215.000000	  187.500000	  100.000000  
	26	  84.740555	  112.145020	  389.550385  
	27	  215.047043	  187.825165	  287.948486  
	28	  215.795715	  187.825180	  148.762405  
	29	  87.541565	  110.016182	  83.733665  
	30	  215.014648	  187.971832	  83.356689  
	31	  75.190414	  99.078163	  390.447266  
	32	  216.778870	  199.794418	  298.741547  
	33	  218.803513	  177.292938	  237.407471  
	34	  198.708237	  190.935226	  167.000000  
	35	  230.491653	  193.601746	  148.762634  
   2  total number of boundary nodes
node bctyp press/flow   HD    PO2
	1	  0	  100.000000	  0.400000	  100.000000
	14	  0	  20.000000	  0.400000	  18.000000

