314166 1 0.050000 Current network file generated by angioadapt
  300.000000  300.000000  500.000000	box dimensions in microns
  15    15    25 	number of tissue points in x,y,z directions
  0.000000			outer bound distance (100. in test case)
  75.000000				max. segment length.  (5. in test case)
   40				nodsegm, max. number of segments per node
  54				total number of segments 
  name type from  to  diam       flow
	1	  4	  1	  2	  7.000000	  34.706017	  0.400000  
	2	  3	  2	  3	  7.309282	  34.706017	  0.400000  
	3	  1	  3	  4	  8.000000	  0.000000	  0.400000  
	4	  1	  4	  5	  8.000000	  0.000000	  0.400000  
	5	  1	  5	  26	  8.000000	  0.000000	  0.400000  
	6	  1	  6	  7	  8.000000	  0.000000	  0.400000  
	7	  1	  7	  8	  8.000000	  0.000000	  0.400000  
	8	  1	  8	  36	  8.000000	  0.000000	  0.400000  
	9	  1	  9	  37	  8.000000	  0.000000	  0.400000  
	10	  1	  10	  11	  8.000000	  0.000000	  0.400000  
	11	  1	  11	  12	  8.000000	  0.000000	  0.400000  
	12	  5	  3	  13	  7.329612	  34.706017	  0.400000  
	13	  5	  13	  38	  7.442070	  34.706017	  0.400000  
	14	  4	  14	  15	  16.000000	  -34.706017	  0.400000  
	15	  3	  15	  16	  7.762255	  -34.706017	  0.400000  
	16	  1	  16	  39	  8.000000	  0.000000	  0.400000  
	17	  1	  17	  18	  8.000000	  0.000000	  0.400000  
	18	  1	  18	  19	  8.000000	  0.000000	  0.400000  
	19	  1	  19	  20	  8.000000	  0.000000	  0.400000  
	20	  1	  20	  27	  8.000000	  0.000000	  0.400000  
	21	  1	  21	  22	  8.000000	  0.000000	  0.400000  
	22	  1	  22	  23	  8.000000	  0.000000	  0.400000  
	23	  1	  23	  28	  8.000000	  0.000000	  0.400000  
	24	  1	  24	  40	  8.000000	  0.000000	  0.400000  
	25	  1	  26	  6	  8.000000	  0.000000	  0.400000  
	26	  1	  27	  41	  8.000000	  0.000000	  0.400000  
	27	  1	  28	  24	  8.000000	  0.000000	  0.400000  
	28	  1	  12	  29	  8.000000	  0.000000	  0.000000  
	29	  1	  25	  30	  8.000000	  0.000000	  0.000000  
	30	  1	  26	  31	  8.000000	  0.000000	  0.000000  
	31	  1	  27	  32	  8.000000	  0.000000	  0.000000  
	32	  1	  21	  33	  8.000000	  0.000000	  0.000000  
	33	  1	  23	  34	  8.000000	  0.000000	  0.000000  
	34	  1	  28	  35	  8.000000	  0.000000	  0.000000  
	35	  1	  36	  9	  8.000000	  0.000000	  0.400000  
	36	  1	  37	  10	  8.000000	  0.000000	  0.400000  
	37	  5	  38	  16	  7.442070	  34.706017	  0.400000  
	38	  1	  39	  17	  8.000000	  0.000000	  0.400000  
	39	  1	  40	  25	  8.000000	  0.000000	  0.400000  
	40	  1	  41	  21	  8.000000	  0.000000	  0.400000  
	41	  0	  29	  42	  8.000000	  0.000000	  0.000000  
	42	  0	  30	  43	  8.000000	  0.000000	  0.000000  
	43	  0	  31	  44	  8.000000	  0.000000	  0.000000  
	44	  0	  32	  45	  8.000000	  0.000000	  0.000000  
	45	  0	  33	  46	  8.000000	  0.000000	  0.000000  
	46	  0	  34	  47	  8.000000	  0.000000	  0.000000  
	47	  0	  35	  48	  8.000000	  0.000000	  0.000000  
	48	  0	  7	  49	  8.000000	  0.000000	  0.000000  
	49	  0	  36	  50	  8.000000	  0.000000	  0.000000  
	50	  0	  37	  51	  8.000000	  0.000000	  0.000000  
	51	  0	  38	  52	  8.000000	  0.000000	  0.000000  
	52	  0	  39	  53	  8.000000	  0.000000	  0.000000  
	53	  0	  40	  54	  8.000000	  0.000000	  0.000000  
	54	  0	  41	  55	  8.000000	  0.000000	  0.000000  
 55       total number of nodes
  name    x       y       z
	1	  25.000000	  77.900002	  500.000000  
	2	  55.000000	  95.199997	  500.000000  
	3	  85.000000	  112.500000	  500.000000  
	4	  85.000000	  112.500000	  450.000000  
	5	  85.000000	  112.500000	  400.000000  
	6	  85.000000	  112.500000	  350.000000  
	7	  85.000000	  112.500000	  300.000000  
	8	  85.000000	  112.500000	  250.000000  
	9	  85.000000	  112.500000	  200.000000  
	10	  85.000000	  112.500000	  167.000000  
	11	  85.000000	  112.500000	  133.000000  
	12	  85.000000	  112.500000	  100.000000  
	13	  150.000000	  150.000000	  500.000000  
	14	  275.000000	  222.100006	  500.000000  
	15	  245.000000	  204.800003	  500.000000  
	16	  215.004517	  187.502579	  499.870056  
	17	  215.000000	  187.500000	  450.000000  
	18	  215.000000	  187.500000	  400.000000  
	19	  215.000000	  187.500000	  350.000000  
	20	  215.000000	  187.500000	  300.000000  
	21	  215.056854	  187.350388	  249.812805  
	22	  215.000000	  187.500000	  200.000000  
	23	  214.286621	  187.659653	  167.000748  
	24	  215.000000	  187.500000	  133.000000  
	25	  215.000000	  187.500000	  100.000000  
	26	  84.521011	  111.844635	  389.571838  
	27	  215.116226	  188.303284	  288.401215  
	28	  216.410461	  188.084213	  148.760910  
	29	  87.541565	  110.016182	  83.733665  
	30	  215.014648	  187.971832	  83.356689  
	31	  75.190414	  99.078163	  390.447266  
	32	  216.778870	  199.794418	  298.741547  
	33	  218.803513	  177.292938	  237.407471  
	34	  198.708237	  190.935226	  167.000000  
	35	  230.491653	  193.601746	  148.762634  
	36	  85.218689	  112.874016	  216.540466  
	37	  85.147385	  112.294868	  185.122589  
	38	  199.314392	  178.406708	  499.982208  
	39	  215.350159	  187.318390	  468.502594  
	40	  214.205490	  187.990158	  117.237709  
	41	  214.498901	  187.044861	  259.999939  
	42	  88.454361	  114.768417	  67.802391  
	43	  216.450012	  192.775909	  67.479568  
	44	  63.064339	  88.313438	  394.229004  
	45	  217.514664	  210.300034	  311.637787  
	46	  228.968582	  168.553040	  227.532852  
	47	  182.284958	  191.266815	  169.718140  
	48	  245.231659	  200.704224	  145.678864  
	49	  98.433289	  113.127991	  290.182922  
	50	  93.268608	  126.641411	  219.440445  
	51	  87.628609	  108.841324	  169.992355  
	52	  214.919846	  175.403534	  495.222626  
	53	  228.234421	  180.633270	  475.717377  
	54	  200.829697	  196.242126	  117.237709  
	55	  203.496048	  175.560852	  260.006958  
   2  total number of boundary nodes
node bctyp press/flow   HD    PO2
	1	  0	  100.000000	  0.400000	  100.000000
	14	  0	  20.000000	  0.400000	  18.000000

