Histogram data
value  % cumul. %
0    0.00    0.00
5    7.88    7.88
10    9.84   17.73
15   11.76   29.49
20   12.48   41.98
25   11.96   53.94
30   10.36   64.31
35    9.96   74.27
40    6.76   81.03
45    5.56   86.59
50    4.68   91.28
55    3.08   94.36
60    2.44   96.80
65    1.48   98.28
70    0.88   99.16
75    0.36   99.52
80    0.16   99.68
85    0.16   99.84
90    0.16  100.00
95    0.00  100.00
100    0.00  100.00
105    0.00  100.00
110    0.00  100.00
115    0.00  100.00
120    0.00  100.00
125    0.00  100.00
130    0.00  100.00
Mean = 25.704229 deviation = 16.226009 min = 0.000000 max  = 126.194145
