Histogram data
value  % cumul. %
-2    0.00    0.00
0    0.48    0.48
2   15.25   15.73
4   12.48   28.21
6    5.60   33.81
8    4.28   38.10
10    3.52   41.62
12    3.92   45.54
14    3.32   48.86
16    3.68   52.54
18    4.32   56.86
20    3.80   60.66
22    4.00   64.67
24    4.08   68.75
26    4.64   73.39
28    4.84   78.23
30    4.08   82.31
32    3.48   85.79
34    2.64   88.44
36    3.44   91.88
38    1.52   93.40
40    1.52   94.92
42    1.56   96.48
44    1.00   97.48
46    0.60   98.08
48    0.52   98.60
50    0.52   99.12
52    0.36   99.48
54    0.16   99.64
56    0.20   99.84
58    0.08   99.92
60    0.04   99.96
62    0.04  100.00
64    0.00  100.00
66    0.00  100.00
68    0.00  100.00
Mean = 16.375566 deviation = 13.303007 min = -0.491283 max  = 67.431519
