Histogram data
value  % cumul. %
4.2    0.00    0.00
4.4    0.13    0.13
4.6    0.00    0.13
4.8    0.00    0.13
5    0.00    0.13
5.2    0.00    0.13
5.4    0.00    0.13
5.6    0.00    0.13
5.8    0.00    0.13
6    0.00    0.13
6.2    0.00    0.13
6.4    0.00    0.13
6.6    0.00    0.13
6.8    0.00    0.13
7    0.00    0.13
7.2    0.00    0.13
7.4    0.00    0.13
7.6    0.00    0.13
7.8    0.00    0.13
8    0.00    0.13
8.2    0.00    0.13
8.4    0.00    0.13
8.6    0.00    0.13
8.8   99.87  100.00
Mean = 8.629354 deviation = 0.158960 min = 4.215015 max  = 8.635083
