Histogram data
value  % cumul. %
0    0.00    0.00
0.02   17.23   17.23
0.04    1.77   19.00
0.06    0.63   19.63
0.08    1.03   20.65
0.1    0.65   21.31
0.12    1.96   23.26
0.14    1.20   24.46
0.16    2.63   27.09
0.18    0.68   27.77
0.2    1.09   28.86
0.22    3.98   32.84
0.24    1.57   34.41
0.26    1.98   36.39
0.28    0.99   37.38
0.3    2.06   39.44
0.32    1.72   41.16
0.34    1.55   42.71
0.36    2.04   44.76
0.38    4.72   49.47
0.4    5.94   55.41
0.42    4.11   59.52
0.44    3.70   63.22
0.46    7.08   70.30
0.48    5.97   76.27
0.5    5.16   81.43
0.52    4.13   85.55
0.54    3.04   88.59
0.56    2.53   91.12
0.58    1.93   93.05
0.6    1.78   94.83
0.62    0.81   95.65
0.64    2.67   98.32
0.66    0.00   98.32
0.68    1.04   99.36
0.7    0.00   99.36
0.72    0.64  100.00
Mean = 0.320775 deviation = 0.202466 min = 0.000000 max  = 0.705238
