Histogram data
value  % cumul. %
0    0.00    0.00
0.02    0.00    0.00
0.04    0.59    0.59
0.06    0.00    0.59
0.08    0.50    1.09
0.1    2.44    3.53
0.12    3.86    7.39
0.14    0.16    7.56
0.16    0.09    7.65
0.18    0.54    8.19
0.2    1.55    9.74
0.22    2.10   11.84
0.24    2.33   14.18
0.26    3.09   17.27
0.28    1.38   18.65
0.3    2.22   20.87
0.32    7.18   28.05
0.34    2.77   30.82
0.36    7.27   38.10
0.38    5.93   44.02
0.4    5.22   49.24
0.42    3.45   52.70
0.44    5.16   57.85
0.46    1.36   59.22
0.48    3.59   62.80
0.5    0.88   63.69
0.52    1.85   65.53
0.54    3.82   69.36
0.56    4.18   73.54
0.58    0.71   74.25
0.6    3.58   77.83
0.62    2.09   79.92
0.64    1.98   81.90
0.66    4.33   86.23
0.68    2.26   88.49
0.7    3.03   91.52
0.72    0.77   92.30
0.74    2.08   94.38
0.76    0.52   94.90
0.78    1.60   96.50
0.8    1.11   97.61
0.82    0.85   98.46
0.84    0.15   98.61
0.86    0.75   99.36
0.88    0.47   99.83
0.9    0.17  100.00
Mean = 0.435269 deviation = 0.187137 min = 0.039720 max  = 0.885766
