Histogram data
value  % cumul. %
-1.2    0.00    0.00
-1.1    0.08    0.08
-1    0.14    0.23
-0.9    0.46    0.69
-0.8    1.93    2.62
-0.7    5.95    8.56
-0.6    3.27   11.83
-0.5   10.56   22.39
-0.4   10.10   32.49
-0.3    6.06   38.55
-0.2   11.98   50.53
-0.1    8.74   59.26
0    7.01   66.28
0.1    5.57   71.85
0.2   10.94   82.78
0.3    2.78   85.57
0.4    3.28   88.85
0.5    3.25   92.10
0.6    1.12   93.22
0.7    0.87   94.09
0.8    1.47   95.56
0.9    0.57   96.13
1    0.58   96.71
1.1    0.48   97.19
1.2    0.27   97.45
1.3    0.56   98.01
1.4    0.20   98.21
1.5    0.43   98.63
1.6    1.37  100.00
Mean = -0.129081 deviation = 0.471140 min = -1.188722 max  = 1.527181
