Histogram data
value  % cumul. %
1.3    0.00    0.00
1.35    0.08    0.08
1.4    0.16    0.25
1.45    0.82    1.07
1.5    0.60    1.67
1.55    0.77    2.44
1.6    2.56    5.01
1.65    2.89    7.90
1.7    3.42   11.32
1.75    6.17   17.49
1.8    7.94   25.44
1.85    7.32   32.75
1.9   10.31   43.06
1.95    5.05   48.11
2    5.80   53.91
2.05    5.72   59.63
2.1    5.93   65.57
2.15    4.99   70.56
2.2    7.96   78.52
2.25    5.28   83.80
2.3    5.32   89.12
2.35    3.09   92.21
2.4    2.90   95.11
2.45    1.29   96.40
2.5    1.28   97.69
2.55    0.80   98.48
2.6    0.64   99.12
2.65    0.43   99.54
2.7    0.29   99.83
2.75    0.00   99.83
2.8    0.00   99.83
2.85    0.00   99.83
2.9    0.00   99.83
2.95    0.00   99.83
3    0.00   99.83
3.05    0.17  100.00
Mean = 1.987823 deviation = 0.252801 min = 1.339698 max  = 3.030794
