Histogram data
value  % cumul. %
-1    0.00    0.00
-0.9    0.32    0.32
-0.8    1.13    1.45
-0.7    3.94    5.39
-0.6    4.68   10.08
-0.5    9.22   19.29
-0.4   10.62   29.91
-0.3   10.45   40.36
-0.2   11.31   51.67
-0.1   13.30   64.97
0    9.34   74.32
0.1    8.65   82.97
0.2    6.59   89.56
0.3    2.92   92.48
0.4    3.43   95.91
0.5    1.44   97.35
0.6    0.76   98.10
0.7    0.27   98.38
0.8    1.45   99.83
0.9    0.00   99.83
1    0.00   99.83
1.1    0.00   99.83
1.2    0.17  100.00
Mean = -0.203408 deviation = 0.330268 min = -0.903819 max  = 1.163744
