Histogram data
value  % cumul. %
20    0.00    0.00
22    0.35    0.35
24    0.35    0.69
26    0.43    1.12
28    1.49    2.61
30    2.22    4.83
32    2.66    7.49
34    3.72   11.21
36    4.08   15.28
38    4.30   19.58
40    4.88   24.46
42    5.73   30.19
44    8.16   38.35
46   10.02   48.37
48   10.55   58.92
50    8.88   67.80
52    6.64   74.44
54    5.44   79.87
56    3.29   83.16
58    3.53   86.69
60    2.17   88.86
62    1.92   90.79
64    2.00   92.79
66    1.40   94.19
68    1.45   95.64
70    0.88   96.52
72    1.14   97.66
74    0.70   98.36
76    0.57   98.93
78    0.32   99.25
80    0.15   99.39
82    0.22   99.61
84    0.16   99.77
86    0.15   99.92
88    0.00   99.92
90    0.00   99.92
92    0.00   99.92
94    0.00   99.92
96    0.00   99.92
98    0.00   99.92
100    0.00   99.92
102    0.08  100.00
Mean = 46.861382 deviation = 10.749329 min = 20.000000 max  = 100.000000
