Histogram data
value  % cumul. %
0    0.00    0.00
5   12.30   12.30
10   15.07   27.37
15   19.62   46.99
20   16.24   63.24
25   11.84   75.07
30    7.37   82.45
35    4.49   86.94
40    3.29   90.23
45    1.80   92.03
50    1.44   93.47
55    1.36   94.83
60    1.14   95.97
65    0.90   96.87
70    0.65   97.52
75    0.63   98.15
80    0.44   98.59
85    0.44   99.02
90    0.22   99.24
95    0.19   99.43
100    0.22   99.65
105    0.08   99.73
110    0.14   99.86
115    0.05   99.92
120    0.03   99.95
125    0.05  100.00
Mean = 20.022469 deviation = 16.999826 min = 0.000000 max  = 124.143135
