Histogram data
value  % cumul. %
22    0.00    0.00
24    0.19    0.19
26    0.82    1.01
28    1.47    2.48
30    2.10    4.57
32    2.88    7.46
34    2.15    9.61
36    2.80   12.41
38    2.53   14.94
40    2.26   17.20
42    2.53   19.73
44    2.67   22.39
46    3.86   26.26
48    9.22   35.48
50   10.07   45.55
52   11.40   56.95
54   10.83   67.78
56    7.86   75.65
58    6.78   82.42
60    5.52   87.95
62    3.65   91.59
64    2.72   94.31
66    1.71   96.03
68    1.22   97.25
70    0.98   98.23
72    0.71   98.94
74    0.22   99.16
76    0.22   99.37
78    0.27   99.65
80    0.14   99.78
82    0.08   99.86
84    0.05   99.92
86    0.00   99.92
88    0.00   99.92
90    0.05   99.97
92    0.03  100.00
Mean = 49.721409 deviation = 10.038806 min = 23.094866 max  = 91.980446
