Histogram data
value  % cumul. %
42    0.00    0.00
44    0.43    0.43
46    0.66    1.09
48    1.55    2.64
50    4.54    7.18
52    9.01   16.20
54   13.11   29.30
56   10.66   39.97
58    8.73   48.70
60    8.23   56.93
62    7.24   64.17
64    5.78   69.95
66    4.69   74.64
68    4.65   79.29
70    3.56   82.85
72    3.08   85.92
74    2.25   88.18
76    2.08   90.26
78    1.56   91.82
80    1.65   93.46
82    1.14   94.61
84    1.36   95.97
86    1.27   97.24
88    0.59   97.83
90    0.64   98.47
92    0.46   98.93
94    0.34   99.28
96    0.24   99.51
98    0.32   99.83
100    0.17  100.00
Mean = 60.919048 deviation = 10.225726 min = 42.005096 max  = 99.248230
