Histogram data for solute 1
value  percent cumul. percent
0    0.00    0.00
2    0.00    0.00
4    0.00    0.00
6    0.00    0.00
8    0.00    0.00
10    0.00    0.00
12    0.00    0.00
14    0.00    0.00
16    0.00    0.00
18    0.00    0.00
20    0.08    0.08
22    1.39    1.47
24    7.48    8.95
26   15.16   24.11
28   16.08   40.19
30   15.48   55.67
32   20.73   76.41
34   11.70   88.11
36    3.84   91.95
38    2.83   94.78
40    1.93   96.71
42    1.36   98.07
44    0.90   98.97
46    0.38   99.35
48    0.27   99.62
50    0.22   99.84
52    0.05   99.89
54    0.05   99.95
56    0.03   99.97
58    0.00   99.97
60    0.03  100.00
62    0.00  100.00
64    0.00  100.00
66    0.00  100.00
68    0.00  100.00
70    0.00  100.00
72    0.00  100.00
74    0.00  100.00
76    0.00  100.00
78    0.00  100.00
80    0.00  100.00
Mean solute = 29.519972 deviation = 4.627800 min = 19.769590 max  = 58.911938
-----------------------------------------------------------
Histogram data for solute 2
value  percent cumul. percent
0  100.00  100.00
0.05    0.00  100.00
0.1    0.00  100.00
0.15    0.00  100.00
0.2    0.00  100.00
0.25    0.00  100.00
0.3    0.00  100.00
0.35    0.00  100.00
0.4    0.00  100.00
0.45    0.00  100.00
0.5    0.00  100.00
0.55    0.00  100.00
0.6    0.00  100.00
0.65    0.00  100.00
0.7    0.00  100.00
0.75    0.00  100.00
0.8    0.00  100.00
0.85    0.00  100.00
0.9    0.00  100.00
0.95    0.00  100.00
1    0.00  100.00
1.05    0.00  100.00
1.1    0.00  100.00
1.15    0.00  100.00
1.2    0.00  100.00
1.25    0.00  100.00
1.3    0.00  100.00
1.35    0.00  100.00
1.4    0.00  100.00
1.45    0.00  100.00
1.5    0.00  100.00
1.55    0.00  100.00
1.6    0.00  100.00
1.65    0.00  100.00
1.7    0.00  100.00
1.75    0.00  100.00
1.8    0.00  100.00
1.85    0.00  100.00
1.9    0.00  100.00
1.95    0.00  100.00
2    0.00  100.00
Mean solute = -431602080.000000 deviation = 0.000000 min = -431602080.000000 max  = -431602080.000000
-----------------------------------------------------------
Histogram data for solute 3
value  percent cumul. percent
0  100.00  100.00
0.05    0.00  100.00
0.1    0.00  100.00
0.15    0.00  100.00
0.2    0.00  100.00
0.25    0.00  100.00
0.3    0.00  100.00
0.35    0.00  100.00
0.4    0.00  100.00
0.45    0.00  100.00
0.5    0.00  100.00
0.55    0.00  100.00
0.6    0.00  100.00
0.65    0.00  100.00
0.7    0.00  100.00
0.75    0.00  100.00
0.8    0.00  100.00
0.85    0.00  100.00
0.9    0.00  100.00
0.95    0.00  100.00
1    0.00  100.00
1.05    0.00  100.00
1.1    0.00  100.00
1.15    0.00  100.00
1.2    0.00  100.00
1.25    0.00  100.00
1.3    0.00  100.00
1.35    0.00  100.00
1.4    0.00  100.00
1.45    0.00  100.00
1.5    0.00  100.00
1.55    0.00  100.00
1.6    0.00  100.00
1.65    0.00  100.00
1.7    0.00  100.00
1.75    0.00  100.00
1.8    0.00  100.00
1.85    0.00  100.00
1.9    0.00  100.00
1.95    0.00  100.00
2    0.00  100.00
Mean solute = -431602080.000000 deviation = 0.000000 min = -431602080.000000 max  = -431602080.000000
-----------------------------------------------------------
Histogram data for distance to nearest vessel
value  percent cumul. percent
0    0.00    0.00
2    5.14    5.14
4    5.17   10.31
6    6.67   16.98
8    6.61   23.59
10    8.52   32.11
12    8.27   40.38
14    8.63   49.01
16    7.24   56.24
18    6.97   63.21
20    6.45   69.66
22    5.36   75.02
24    4.14   79.16
26    3.67   82.83
28    2.83   85.66
30    2.39   88.05
32    2.15   90.20
34    1.85   92.05
36    1.20   93.25
38    1.03   94.29
40    1.06   95.35
42    0.90   96.24
44    0.63   96.87
46    0.54   97.41
48    0.49   97.90
50    0.68   98.59
52    0.27   98.86
54    0.33   99.18
56    0.16   99.35
58    0.08   99.43
60    0.19   99.62
62    0.16   99.78
64    0.08   99.86
66    0.03   99.89
68    0.00   99.89
70    0.03   99.92
72    0.08  100.00
74    0.00  100.00
76    0.00  100.00
78    0.00  100.00
80    0.00  100.00
distmax  = 71.437225
-----------------------------------------------------------
Histogram data for angles at nodtyp = 3
value  percent cumul. percent
0    0.00    0.00
10    3.91    3.91
20    3.22    7.13
30    2.53    9.66
40    3.22   12.87
50    1.61   14.48
60    2.53   17.01
70    4.37   21.38
80    2.76   24.14
90    4.60   28.74
100    7.59   36.32
110    4.14   40.46
120    8.28   48.74
130    8.51   57.24
140    8.28   65.52
150    5.29   70.80
160    8.97   79.77
170    5.98   85.75
180    3.45   89.20
190    2.07   91.26
200    1.38   92.64
210    1.61   94.25
220    0.69   94.94
230    0.46   95.40
240    0.00   95.40
250    0.46   95.86
260    0.00   95.86
270    0.92   96.78
280    0.23   97.01
290    0.00   97.01
300    0.23   97.24
310    0.46   97.70
320    0.00   97.70
330    0.92   98.62
340    0.69   99.31
350    0.46   99.77
360    0.23  100.00
-----------------------------------------------------------
