imain   time  nodtyp: 1    2    3    4    5    6 or more
    1    0.00         2    5    0    0    0    0 
    2    0.05         2    5    0    0    0    0 
    3    0.10         2    6    0    0    0    0 
    4    0.15         2    6    0    0    0    0 
    5    0.20         2    9    2    0    0    0 
    6    0.25         2    9    2    0    0    0 
    7    0.30         2   10    2    0    0    0 
    8    0.35         2   10    2    0    0    0 
    9    0.40         2   38   10    0    0    0 
   10    0.45         2   40   12    1    0    0 
   11    0.50         2   50   16    1    0    0 
   12    0.55         2   93   20    2    0    0 
   13    0.60         2  121   28    3    0    0 
   14    0.65         2  188   44    5    2    0 
   15    0.70         2  209   60    4    4    0 
   16    0.75         2  265   84    8    4    0 
   17    0.80         2  330  104   10    4    0 
   18    0.85         2  412  126   15    6    0 
   19    0.90         2  456  145   17    7    1 
   20    0.95         2  509  178   23    8    1 
   21    1.00         2  600  193   34    7    2 
   22    1.05         2  638  208   40    6    2 
   23    1.10         2  704  228   47    6    2 
   24    1.15         2  759  247   47    7    3 
   25    1.20         2  834  267   52   11    3 
   26    1.25         2  869  274   52   12    3 
   27    1.30         2  893  284   54   12    3 
   28    1.35         2  925  289   55   13    3 
   29    1.40         2  921  284   59   10    3 
   30    1.45         2  954  274   63   10    3 
   31    1.50         2  950  266   60   10    3 
   32    1.55         2  973  262   58    9    3 
   33    1.60         2  969  255   57    9    3 
   34    1.65         2  952  249   52    9    3 
   35    1.70         2  965  253   47   11    2 
   36    1.75         2  963  247   47    9    2 
   37    1.80         2  953  240   47    8    2 
   38    1.85         2  936  236   46    8    2 
   39    1.90         2  936  234   44    8    2 
   40    1.95         2  933  230   43    8    2 
   41    2.00         2  933  229   41    9    1 
   42    2.05         2  953  219   42    9    1 
   43    2.10         2  946  217   41    9    1 
   44    2.15         2  931  212   41    8    1 
   45    2.20         2  932  210   41    8    1 
   46    2.25         2  924  210   39    8    1 
   47    2.30         2  910  208   38    8    1 
   48    2.35         2  906  208   38    8    1 
   49    2.40         2  900  206   37    8    1 
   50    2.45         2  900  206   36    8    1 
   51    2.50         2  899  206   36    8    1 
   52    2.55         2  895  200   37    8    1 
   53    2.60         2  898  196   37    8    1 
   54    2.65         2  891  190   39    8    1 
   55    2.70         2  891  187   39    9    0 
   56    2.75         2  890  185   40    9    0 
   57    2.80         2  890  185   40    9    0 
   58    2.85         2  891  182   41    8    0 
   59    2.90         2  890  182   41    8    0 
   60    2.95         2  884  184   38    8    0 
   61    3.00         2  889  180   41    8    0 
   62    3.05         2  873  176   39    8    0 
   63    3.10         2  873  174   39    8    0 
   64    3.15         2  872  174   39    8    0 
   65    3.20         2  871  174   39    8    0 
   66    3.25         2  870  174   39    8    0 
   67    3.30         2  864  174   37    8    0 
   68    3.35         2  866  172   37    8    0 
   69    3.40         2  866  172   37    8    0 
   70    3.45         2  866  172   37    8    0 
   71    3.50         2  863  168   38    8    0 
   72    3.55         2  862  168   38    8    0 
   73    3.60         2  861  168   38    8    0 
   74    3.65         2  861  168   38    8    0 
   75    3.70         2  862  167   36    9    0 
   76    3.75         2  862  167   36    9    0 
   77    3.80         2  861  167   36    9    0 
   78    3.85         2  861  167   36    9    0 
   79    3.90         2  861  165   36    9    0 
   80    3.95         2  861  163   37    9    0 
   81    4.00         2  860  163   37    9    0 
   82    4.05         2  859  163   37    9    0 
   83    4.10         2  860  163   36    9    0 
   84    4.15         2  860  161   37    9    0 
   85    4.20         2  860  161   37    9    0 
   86    4.25         2  861  159   37    9    0 
   87    4.30         2  861  159   37    9    0 
   88    4.35         2  861  158   36   10    0 
   89    4.40         2  863  156   36   10    0 
   90    4.45         2  863  156   36   10    0 
   91    4.50         2  862  156   36   10    0 
   92    4.55         2  861  156   35   10    0 
   93    4.60         2  861  156   35   10    0 
   94    4.65         2  861  156   35   10    0 
   95    4.70         2  861  156   35   10    0 
   96    4.75         2  861  156   35   10    0 
   97    4.80         2  860  156   35   10    0 
   98    4.85         2  860  156   35   10    0 
   99    4.90         2  860  156   35   10    0 
  100    4.95         2  860  156   35   10    0 
  101    5.00         2  860  156   35   10    0 
  102    5.05         2  860  156   35   10    0 
  103    5.10         2  860  156   35   10    0 
  104    5.15         2  860  156   35   10    0 
  105    5.20         2  858  156   35   10    0 
  106    5.25         2  858  156   35   10    0 
  107    5.30         2  858  156   35   10    0 
  108    5.35         2  858  156   35   10    0 
  109    5.40         2  858  156   35   10    0 
  110    5.45         2  858  156   35   10    0 
  111    5.50         2  858  156   35   10    0 
  112    5.55         2  858  156   35   10    0 
  113    5.60         2  858  156   35   10    0 
  114    5.65         2  858  156   35   10    0 
  115    5.70         2  856  158   33   10    0 
  116    5.75         2  856  158   33   10    0 
  117    5.80         2  856  158   33   10    0 
  118    5.85         2  856  158   32   10    0 
  119    5.90         2  855  158   32   10    0 
  120    5.95         2  854  158   32   10    0 
  121    6.00         2  854  158   32   10    0 
  122    6.05         2  854  158   32   10    0 
  123    6.10         2  854  158   32   10    0 
  124    6.15         2  854  158   32   10    0 
  125    6.20         2  854  158   32   10    0 
  126    6.25         2  854  158   32   10    0 
  127    6.30         2  854  158   32   10    0 
  128    6.35         2  854  158   32   10    0 
  129    6.40         2  854  158   32   10    0 
  130    6.45         2  854  158   32   10    0 
  131    6.50         2  854  158   32   10    0 
  132    6.55         2  854  158   32   10    0 
  133    6.60         2  853  158   31   10    0 
  134    6.65         2  853  158   31   10    0 
  135    6.70         2  853  158   31   10    0 
  136    6.75         2  853  158   31   10    0 
  137    6.80         2  853  158   31   10    0 
  138    6.85         2  853  158   31   10    0 
  139    6.90         2  851  156   31   10    0 
  140    6.95         2  851  156   31   10    0 
  141    7.00         2  851  156   31   10    0 
  142    7.05         2  851  156   31   10    0 
  143    7.10         2  851  156   31   10    0 
  144    7.15         2  851  154   32   10    0 
  145    7.20         2  851  154   32   10    0 
  146    7.25         2  851  154   32   10    0 
  147    7.30         2  851  154   32   10    0 
  148    7.35         2  851  154   32   10    0 
