2045 1162
Segment start coords, direction cosines, length
        25       77.9        500   0.866282   0.499556          0    34.6308
        55       95.2        500    0.76428   0.437979  -0.473339    25.4591
   74.4579    106.351    487.949   0.264455   0.154263   -0.95198    39.8634
        85      112.5        450 -0.00789393 -0.0644916  -0.997887    48.5738
   84.6166    109.367    401.529  0.0932275   0.212638  -0.972674    10.9396
        85      112.5        350  0.0276228  0.0101703  -0.999567    50.8897
   86.4057    113.018    299.132  0.0570856    0.32649  -0.943475     15.266
   86.6394     127.19    252.983  0.0276544 -0.0862604  -0.995889    17.4979
   84.1664    113.649    199.354   0.031883 -0.0258683  -0.999157    39.8895
       275      222.1        500  -0.866282  -0.499556          0    34.6308
       245      204.8        500  -0.724494  -0.459032  -0.514196    27.1728
       215      187.5        450  -0.123057 -0.0771304  -0.989398    20.0982
    215.49    184.755    401.058   0.196434  -0.569067  -0.798484     21.091
   217.808    178.477    236.576  -0.559001   0.580894  -0.591675    10.3034
       215      187.5        200   0.104985   0.295548  -0.949542    10.9089
   212.582    192.128    179.057   0.172521 -0.0994975  -0.979968     30.949
       215      187.5        133  -0.160583   0.152491  -0.975172    15.3952
   218.263    189.315    299.765   -0.12686 -0.0482341  -0.990747    21.5822
   217.922    189.048    148.728  -0.181796 -0.0963297  -0.978607    16.0714
   85.0429    112.163    101.408 -0.0517643 -0.0916777  -0.994442    18.9935
   217.922    189.048    148.728   0.894624   0.446796 -0.00463398    30.1555
   217.626    187.355    470.261  -0.128505 0.00707925  -0.991684    20.4313
   211.684     183.21    260.079   0.247499  -0.191264  -0.949822     24.745
   84.0597    110.421    82.5196  0.0721065   0.463502  -0.883157    18.8676
   216.155    187.985    101.546 -0.0151862   0.116846  -0.993034    18.4889
   217.808    178.477    236.576   0.492046  -0.423507  -0.760613    25.3666
   212.582    192.128    179.057  -0.820384  -0.481675  -0.308154    19.9826
   86.4057    113.018    299.132   0.802255 0.00736568  -0.596937    14.9922
   211.684     183.21    260.079  -0.780364  -0.607267  -0.149193    10.7056
   219.633    172.753    384.217 -0.0136182 -0.0520545  -0.998551    37.1828
   216.145    190.724    189.642  -0.316522   0.124677  -0.940356    11.2563
   85.4202    119.167    65.8566   0.612207  -0.208492  -0.762715    12.9495
   196.189    182.502    172.899  -0.991891   0.119331 -0.0437217    15.0275
     244.9    202.522    148.588   0.903533   0.424034 -0.0618413    15.8788
   98.4333    113.128    290.183   0.439631   0.158247  -0.884128      16.65
   85.4382    112.617    159.498 -0.0181959 -0.00381674  -0.999827    28.8666
   225.313    192.327    486.028  -0.421676  -0.272678  -0.864775    18.2319
   212.528    189.848    117.987  -0.717002    0.68819   0.110917    30.8322
   203.329    176.709    258.482  -0.795305  -0.358019  -0.489196    12.9241
   216.145    190.724    189.642    0.74096 -0.0139265  -0.671405    39.7487
   84.0597    110.421    82.5196  -0.665933  -0.539262   -0.51549    15.8721
   212.048    184.463     230.48 -0.0377753 0.00702394  -0.999262    18.7717
   241.713    158.849    219.822   0.931106  -0.364695 -0.00622785    16.0334
   259.247    209.255    147.606   0.704498   0.657925   0.266113    13.6872
   105.753    115.763    275.462   0.399791    0.19499  -0.895626      16.65
   190.421    211.066    121.407  -0.572727   0.810117  -0.125276    17.9687
   219.633    172.753    384.217   0.889793 -0.0487737   -0.45375    18.4481
   212.048    184.463     230.48  -0.571313  -0.514255   0.639643    20.3994
   220.542    182.008    317.658  -0.117103   0.375452  -0.919414     19.461
   256.642    153.002    219.722   0.955379  0.0468237  -0.291649     18.502
   157.788     201.03    179.436  -0.783944   0.263134   -0.56231    10.7383
    112.41    119.009     260.55   0.479852   0.396343  -0.782723    14.6841
    180.13    225.623    119.156  -0.851498   0.511041  -0.117426    14.2785
   177.902    158.515    248.349  -0.747119   -0.41525  -0.519019    15.6186
   86.6394     127.19    252.983   -0.59838    0.63179    0.49273    34.8746
   85.6364    111.694    390.888   0.687128   0.719034   0.104142    18.8661
   85.0429    112.163    101.408  0.0972208   0.030845   0.994785    13.7292
   220.542    182.008    317.658   0.609315  -0.718966  -0.334399    14.8359
   219.633    172.753    384.217  -0.891214   -0.45061  0.0518457    14.8133
   212.527     185.95    430.115   0.101376 -0.0408769  -0.994008     29.232
   85.6364    111.694    390.888 -0.0155604  0.0197163  -0.999684    40.9011
   119.895     144.28    33.4446  -0.500251   0.689446  -0.523845    13.5706
   274.318    153.868    214.326   0.830012  -0.433623  -0.350786    15.0737
   119.456    124.829    249.056   0.448587   0.322488  -0.833529    18.5799
   167.972     232.92    117.479  -0.881478   0.472223 0.00146054    17.3217
